	x	y
SAAM-1975.40_1	0.98973763	0.5296184
SAAM-1985.66.396_1	0.7869524	0.67302096
SAAM-1959.3.3_1	0.7385248	0.5314475
SAAM-1983.95.104_2	0.971174	0.6028007
SAAM-1985.66.563B_1	0.2655903	0.12289643
SAAM-1983.95.196B_2	0.1588465	0.4616164
SAAM-1974.69.19_1	0.63965106	0.43761837
SAAM-1985.66.326789_1	0.45217395	0.6800462
SAAM-2016.2_1	0.90296483	0.66280663
SAAM-1983.114.9_1	0.87547386	0.38569772
SAAM-1983.95.127_2	0.7804409	0.2314955
SAAM-1978.166_1	0.1771338	0.3697754
SAAM-1983.95.70_1	0.8257469	0.2639519
SAAM-1979.117.3_1	0.7681161	0.4453355
SAAM-1950.2.10_1	0.7820276	0.19117558
SAAM-1915.6.3_1	0.8543308	0.10375714
SAAM-1966.34.2_1	0.85506594	0.6525377
SAAM-1950.2.19A_1	0.38070464	0.9713999
SAAM-1983.83.190_1	0.8613038	0.59085333
SAAM-1910.9.16_1	0.24479866	0.3359164
SAAM-1991.56.172_1	0.23540485	0.6045383
SAAM-1983.95.166_1	0.86742914	0.54903615
SAAM-1983.95.65_2	0.8099166	0.27392447
SAAM-1974.69.8_1	0.40995562	0.08102727
SAAM-1974.69.18_1	0.64120436	0.42740023
SAAM-1911.2.2_1	0.6097045	0.43756282
SAAM-1930.12.61_1	0.91458595	0.4988557
SAAM-1927.5.6_2	0.38168752	0.7208456
SAAM-1952.13.119_1	0.23511517	0.4973377
SAAM-1985.66.384190_1	0.61255634	0.6558691
SAAM-1983.95.30_1	0.5006434	0.5640844
SAAM-1983.83.273_1	0.5786928	0.8145524
SAAM-1968.59.1_2	0.6311451	0.6448184
SAAM-1966.36.106_1	0.45958066	0.70731175
SAAM-1983.26_1	0.6420884	0.3146118
SAAM-1950.6.16_1	0.50141466	0.88481104
SAAM-1967.6.22_1	0.007511735	0.5176121
SAAM-1985.66.563_1	0.26688576	0.12005508
SAAM-1916.6.48_1	0.15108204	0.4581939
SAAM-1974.69.12_1	0.45654798	0.07106745
SAAM-1979.138_1	0.3544767	0.43956125
SAAM-1952.13.143_1	0.61476743	0.23457062
SAAM-1975.83.117_1	0.9673166	0.5902096
SAAM-1983.95.117_1	0.67127204	0.091153264
SAAM-1983.95.116_1	0.6144612	0.08262265
SAAM-1965.18.36_1	0.38699508	0.9999999
SAAM-1984.48_1	0.6359247	0.10849428
SAAM-1950.2.26D_1	0.3841641	0.93845546
SAAM-1950.2.12_1	0.56896615	0.78828204
SAAM-1983.90.210_1	0.7966695	0.43240988
SAAM-1967.125_1	0.7933816	0.47146356
SAAM-1962.4.9_1	0.72420514	0.24106538
SAAM-1929.6.133_1	0.6735368	0.0030645132
SAAM-1956.11.15_1	0.8840401	0.2771634
SAAM-1952.13.161_2	0.8232273	0.38627493
SAAM-1929.6.132_1	0.49409103	0.6466807
SAAM-1996.91.8_1	0.39355373	0.113604665
SAAM-1965.14.8_1	0.6576363	0.7202538
SAAM-1933.4.9_1	0.79623246	0.60523355
SAAM-1983.83.128_1	0.189677	0.70610726
SAAM-1969.139_1	0.8293197	0.59387314
SAAM-1956.11.37_1	0.6455649	0.35571086
SAAM-1985.66.326802_1	0.51403046	0.7288102
SAAM-2006.1.2_1	0.76299155	0.38659775
SAAM-1983.95.73_1	0.2740754	0.48039734
SAAM-1983.95.76_1	0.66189563	0.34952486
SAAM-1974.28.58_1	0.14379525	0.61032116
SAAM-1909.7.71_1	0.8098608	0.141662
SAAM-1996.68_1	0.4969983	0.8803512
SAAM-1930.12.4_1	0.8176036	0.0638386
SAAM-1920.2.1_2	0.68420327	0.08166742
SAAM-1976.153.29B_1	0.1331321	0.4849223
SAAM-1985.66.362_1	0.8071588	0.8104459
SAAM-1970.79_1	0.40727067	0.7403983
SAAM-1950.2.1_1	0.88455427	0.26635253
SAAM-1991.56.168_1	0.55893993	0.6733483
SAAM-1985.66.398_1	0.78269553	0.7145959
SAAM-1967.56.28_1	0.8634592	0.14959002
SAAM-1909.9.7_1	0.6420529	0.049542427
SAAM-1978.72_4	0.5033127	0.8816503
SAAM-1981.171B_1	0.5234765	0.5378314
SAAM-1968.19.13_1	0.1007514	0.6146344
SAAM-2014.67.1_1	0.23135066	0.32386816
SAAM-1983.83.269_1	0.6844419	0.80370915
SAAM-1985.66.348_1	0.73967946	0.5989076
SAAM-1909.7.48_1	0.936479	0.21971667
SAAM-1970.288_1	0.8247378	0.46932685
SAAM-1983.95.106_1	0.932696	0.21798074
SAAM-1968.121.1_1	0.012586594	0.5189513
SAAM-1985.66.326798_1	0.1289128	0.7181686
SAAM-1968.123.1_2	0.009473503	0.5228597
SAAM-1966.34.7_1	0.41434252	0.3519479
SAAM-1997.30_1	0.7937629	0.68370306
SAAM-1985.79.1_1	0.9190346	0.6043252
SAAM-1983.95.136_1	0.76669955	0.1084075
SAAM-1983.95.115_1	0.7637845	0.15691257
SAAM-1968.59.2_1	0.250358	0.62710035
SAAM-1952.13.102_1	0.27199578	0.5257875
SAAM-1962.4.10_1	0.7100555	0.18804896
SAAM-1981.62_2	0.8055638	0.5391811
SAAM-1950.2.3_1	0.66029954	0.3632058
SAAM-1968.20.1_1	0.77835083	0.38075244
SAAM-1985.66.333_1	0.7663585	0.70492804
SAAM-1935.12.8_1	0.77016413	0.06316924
SAAM-2004.30.3_1	0.7832329	0.5738503
SAAM-1909.7.17_1	0.7114241	0.08099115
SAAM-1930.12.41_1	0.5301323	0.41705573
SAAM-1983.95.188B_1	0.4214319	0.4431678
SAAM-1956.11.16_1	0.9047494	0.2481457
SAAM-1983.83.182_1	0.6302571	0.75768054
SAAM-1962.13.44_1	0.86615634	0.7295786
SAAM-1909.7.38_1	0.8343862	0.13564575
SAAM-1983.95.140_2	0.88168764	0.24319255
SAAM-1973.133.2_1	0.7939751	0.5956918
SAAM-1968.121.2_1	0.29960668	0.46930468
SAAM-1983.95.198_1	0.9918089	0.5099553
SAAM-1991.56.68_1	0.33160126	0.71300614
SAAM-1952.13.86A-B_1	0.80655825	0.53973687
SAAM-2006.1.1_1	0.88046193	0.54032385
SAAM-1959.14_2	0.2373532	0.34626663
SAAM-1962.13.67_1	0.1651187	0.45368326
SAAM-1983.95.88_2	0.925634	0.22683609
SAAM-1983.95.118_1	0.85422015	0.21922028
SAAM-1983.83.193_1	0.63964593	0.7552537
SAAM-1933.4.12_1	0.6961285	0.34003222
SAAM-1952.13.87_1	0.8799318	0.4689442
SAAM-1965.18.69_1	0.2581966	0.622959
SAAM-1962.13.38_1	0.49812114	0.848266
SAAM-1962.13.49_1	0.1434356	0.7187406
SAAM-1930.12.59_1	0.6427523	0.20024693
SAAM-1985.66.352_1	0.95698285	0.52533185
SAAM-1962.4.19_1	0.7897066	0.35656345
SAAM-1952.13.126_1	0.18527687	0.5541073
SAAM-1983.114.18_1	0.31943464	0.3877703
SAAM-1983.114.14_1	0.36178398	0.15989935
SAAM-1930.12.67_1	0.74517417	0.48052204
SAAM-1962.8.6_1-000001	0.30931532	0.6418458
SAAM-2014.67.2_1	0.2352525	0.32374418
SAAM-1991.56.84_1	0.34611952	0.71059287
SAAM-1950.2.11_1	0.6164181	0.15593183
SAAM-1991.56.47_1	0.55244327	0.76303756
SAAM-1968.121.7_1	0.6129825	0.18205345
SAAM-1985.66.326801_1	0.25456274	0.63532317
SAAM-1991.56.182_1	0.20097339	0.577654
SAAM-2012.14_1	0.18328035	0.3706764
SAAM-1985.66.345_1	0.77212775	0.6979786
SAAM-1983.95.10_1	0.5071331	0.36808598
SAAM-2015.54.2_1	0.8293266	0.35075438
SAAM-1959.3.2_1	0.821982	0.45817077
SAAM-1929.6.55_2	0.41644144	0.29651606
SAAM-1962.13.64_1	0.18825412	0.6860579
SAAM-1966.78.2_2	0.3514217	0.44644868
SAAM-1967.136.9_1	0.65455484	0.39407456
SAAM-1909.7.6_1	0.8991295	0.32064998
SAAM-1980.133.17_2	0.3223219	0.635702
SAAM-1950.2.24C_1	0.37462723	0.9733218
SAAM-1906.9.3_1	0.83243763	0.25354588
SAAM-1962.13.21_1	0.14109004	0.5178145
SAAM-1947.11.1_1	0.7039217	0.02893591
SAAM-1962.13.51_1	0.15627968	0.6905285
SAAM-1950.2.20A_1	0.38387918	0.9471966
SAAM-1983.90.213_1	0.9533235	0.5832416
SAAM-1978.36_2	0.32330096	0.4645332
SAAM-1930.12.64_1	0.76046586	0.45064557
SAAM-1912.6.2_1	0.7081176	0.8411168
SAAM-XX98H_1	0.92256236	0.2536484
SAAM-1968.88.1_1	0.6313958	0.7585696
SAAM-1985.83_1	0.4890325	0.5158025
SAAM-1950.2.28D_1	0.39844167	0.8737165
SAAM-1991.56.63_1	0.94805515	0.55100834
SAAM-1967.6.15_1	0.11898708	0.6258899
SAAM-1950.2.18B_1	0.38468516	0.9532534
SAAM-1985.66.405_1	0.27101803	0.112582326
SAAM-1958.5.1_1	0.86362004	0.47345984
SAAM-1952.13.89_1	0.30516183	0.17245138
SAAM-1967.6.16_1	0.013337314	0.52712214
SAAM-1909.7.76_1	0.30010366	0.15464878
SAAM-1983.83.191_1	0.6743156	0.45506728
SAAM-1909.7.55_1	0.94561994	0.23605883
SAAM-1968.19.2_1	0.026501298	0.54082763
SAAM-1950.2.17C_1	0.38717997	0.9978093
SAAM-1985.66.425_1	0.7515683	0.6443409
SAAM-1930.12.62_1	0.73394763	0.5902952
SAAM-1991.56.195_1	0.5364094	0.7871033
SAAM-1985.66.468_1	0.7831774	0.6391171
SAAM-1988.49.1_1	0.95684874	0.57259643
SAAM-1983.95.122_1	0.80716074	0.3192712
SAAM-1991.56.37_1	0.47675157	0.6815258
SAAM-1950.2.22A_1	0.400774	0.9075283
SAAM-1950.2.18A_1	0.37712538	0.9518522
SAAM-1930.12.35_1	0.7188288	0.40034783
SAAM-2005.21_1	0.4494586	0.74602926
SAAM-1973.133.3_1	0.74462986	0.54802
SAAM-1985.66.495-U_1	0.71592677	0.88378155
SAAM-1991.56.382_1	0.51628935	0.19546449
SAAM-1985.66.404_1	0.26686013	0.10575223
SAAM-1985.66.394_1	0.8118938	0.8081447
SAAM-1929.6.64_1	0.5546746	0.36102712
SAAM-1912.1.1_1	0.8460183	0.43310916
SAAM-1985.66.594-U_1	0.718572	0.8838645
SAAM-1922.9.1_1	0.5142975	0.8200854
SAAM-1983.83.278_1	0.69736075	0.44336355
SAAM-1983.90.84_1	0.17122912	0.42752588
SAAM-1915.11.58_1	0.37968516	0.4884826
SAAM-1983.95.26_1	0.79783475	0.50497806
SAAM-1950.2.28A_1	0.41703045	0.8289677
SAAM-2002.24_3	0.018286407	0.52264655
SAAM-1985.66.371_1	0.7806978	0.7803503
SAAM-1985.66.558-U_1	0.7164391	0.88447535
SAAM-1970.41_1	0.26001775	0.26679504
SAAM-1988.53_1	0.398381	0.7080933
SAAM-1929.6.141_2	0.88314986	0.11977363
SAAM-1929.6.142_2	0.537935	0.22313297
SAAM-1985.66.589-U_1	0.71597743	0.8806435
SAAM-1985.66.328_1	0.5779487	0.71314156
SAAM-1985.66.363_1	0.66603184	0.43293703
SAAM-1983.95.29_1	0.4469701	0.3220483
SAAM-1950.2.25A_1	0.37055767	0.9455925
SAAM-1993.50_1	0.7196064	0.05764711
SAAM-1983.95.75_1	0.8454206	0.17843544
SAAM-1962.13.66_1	0.19500637	0.6968485
SAAM-1909.9.6_1	0.72944975	0.2352947
SAAM-1909.7.64_1	0.652087	0.7799424
SAAM-1916.6.43_1	0.6594411	0.38227832
SAAM-1983.95.107_1	0.7310902	0.41122925
SAAM-1909.7.45_2	0.64831233	0.27775013
SAAM-1909.7.63_1-000001	0.7345542	0.044261694
SAAM-1978.110_1	0.9625621	0.46268547
SAAM-1916.6.44_1	0.5406194	0.37737048
SAAM-1927.5.8_1	0.29209852	0.7264124
SAAM-1910.9.7_1	0.9180566	0.24441373
SAAM-1983.90.236_1	0.3838961	0.9876286
SAAM-1953.14.3_1	0.16715562	0.48336995
SAAM-1967.144_1	0.72606766	0.11489248
SAAM-1916.6.47_1	0.55061543	0.050843358
SAAM-1973.30_1	0.57112753	0.49200857
SAAM-1930.12.58_1	0.55150163	0.7488185
SAAM-1983.95.184_2	0.30785513	0.18039548
SAAM-1950.2.20B_1	0.38663816	0.9298347
SAAM-1966.34.3_1	0.5531459	0.5527698
SAAM-1961.5.2_3	0.17589211	0.36137283
SAAM-1909.7.80_1	0.7524843	0.052734137
SAAM-1968.154.85_1	0.84674203	0.6464857
SAAM-1983.83.276_1	0.631865	0.49540412
SAAM-1909.7.11_1	0.8070648	0.46039188
SAAM-1983.83.270_1	0.88579273	0.6431495
SAAM-1962.13.30_1	0.5352733	0.7855357
SAAM-1964.1.193_1	0.718958	0.2965592
SAAM-1933.4.11_1	0.6005511	0.50373113
SAAM-1983.95.103_1	0.27673864	0.5305568
SAAM-1915.1.1_1	0.623806	0.14951646
SAAM-1983.95.197_1	0.88474584	0.62154686
SAAM-1983.95.110_1	0.9349129	0.21988928
SAAM-1994.121_2	0.3260486	0.18664539
SAAM-1965.8.1_1	0.57909405	0.61363065
SAAM-1983.95.15_1	0.8148656	0.35667694
SAAM-1962.13.20A_1	0.18311214	0.6350657
SAAM-1952.13.141_1	0.54429865	0.77682126
SAAM-1909.7.66_1	0.9750918	0.5058538
SAAM-1974.69.2_1	0.25002873	0.48131478
SAAM-1985.66.391_1	0.8056525	0.8101994
SAAM-1967.6.14_1	0.1319611	0.66046727
SAAM-1909.7.79_1	0.7668922	0.24236977
SAAM-1930.12.44_1	0.5964868	0.6788732
SAAM-1930.12.10_1	0.74798584	0.29034698
SAAM-1983.83.240_1	0.26875758	0.7429775
SAAM-1984.23_1	0.7014502	0.7036749
SAAM-1909.7.7_1	0.15673888	0.7336575
SAAM-1982.1.33_1	0.5222573	0.8778473
SAAM-1985.66.467_1	0.2697463	0.096298695
SAAM-1965.14.5_1	0.19996607	0.5324913
SAAM-1950.2.24D_1	0.24152267	0.69943607
SAAM-1983.83.274_1	0.56015563	0.8035828
SAAM-1985.66.380_1	0.7827846	0.8147403
SAAM-1909.7.46_1	0.6665299	0.055217147
SAAM-1983.95.79_2	0.4204898	0.31708133
SAAM-1962.13.6_1	0.19301379	0.43377936
SAAM-1909.7.14_1	0.75871193	0.4116112
SAAM-1971.284_1	0.24011135	0.34239686
SAAM-1915.11.2_1	0.25576484	0.74278724
SAAM-1984.162_1	0.93130493	0.5243069
SAAM-1977.1.7_1	0.9195994	0.24845374
SAAM-1983.95.163_1	0.30887377	0.17866242
SAAM-1983.40_1	0.9553195	0.5683495
SAAM-1983.95.101_2	0.8000324	0.21889508
SAAM-1909.9.3_1	0.91917825	0.6148335
SAAM-1991.56.381_1	0.63663566	0.27718198
SAAM-1979.98.440_1	0.7070961	0.7624625
SAAM-1983.90.232_1	0.81163394	0.58320844
SAAM-1927.5.3_1	0.29885626	0.7298213
SAAM-1974.69.6_1	0.14667463	0.70645654
SAAM-1985.66.384_1	0.7772844	0.7348026
SAAM-1974.69.20_1	0.8103131	0.11146641
SAAM-1962.13.20B_1	0.15864086	0.6467341
SAAM-1962.13.42_1	0.72847486	0.5441934
SAAM-2009.31.2_1	0.41832745	0.855904
SAAM-1929.6.26_2	0.5335121	0.38616526
SAAM-1959.3.4_1	0.8025029	0.4688865
SAAM-1929.6.76_2	0.6653335	0.011731744
SAAM-1952.13.4_1	0.3875004	0.48570883
SAAM-1950.2.28C_1	0.38565505	0.92888844
SAAM-1985.66.388_1	0.7812426	0.79092515
SAAM-1921.6.2_1	0.7706431	0.22469819
SAAM-1952.13.134_1	0.18505442	0.5642904
SAAM-1985.66.581-U_1	0.71058905	0.8684305
SAAM-1909.11.3_1	0.681309	0.010331869
SAAM-1947.11.3_1	0.6796886	0.025923252
SAAM-1965.14.9_2	0.91895866	0.38644946
SAAM-1983.95.95_2	0.94084597	0.22077453
SAAM-1909.7.23_1	0.7776009	0.3228656
SAAM-1981.171A_1	0.5167155	0.5379516
SAAM-1974.93.16_1	0.19039118	0.34268248
SAAM-1983.83.180_1	0.63083816	0.79258835
SAAM-1970.282_1	0.8320819	0.6707188
SAAM-1962.13.45_1	0.14278495	0.72358763
SAAM-1962.13.71_1	0.4939916	0.80086505
SAAM-1929.6.67_1	0.72179246	0.77080476
SAAM-1971.269.35_1	0.8150964	0.06447542
SAAM-1974.69.9_1	0.40750873	0.087953806
SAAM-1977.107.1_2	0.8625971	0.54267275
SAAM-1950.2.26C_1	0.38411343	0.93483746
SAAM-1970.73_1	0.7613964	0.23890531
SAAM-1983.95.7_1	0.96177816	0.60096896
SAAM-1909.7.3_2	0.6159154	0.100936055
SAAM-1967.6.6_1	0.008381486	0.5140816
SAAM-1984.135.1_1	0.68511343	0.27060354
SAAM-1982.1.34_1	0.72442317	0.7293092
SAAM-1985.66.326791_1	0.41983604	0.66775596
SAAM-1916.6.39_1	0.14890671	0.4372195
SAAM-1950.2.26B_1	0.3615979	0.7176753
SAAM-1991.56.171_1	0.31909597	0.7248603
SAAM-1962.13.60_1	0.16620052	0.72318757
SAAM-1909.7.47_2	0.75258446	0.15558088
SAAM-1946.10.2_1	0.91671443	0.5314115
SAAM-1929.6.93_1	0.9214475	0.39299572
SAAM-1952.13.111_1	0.22345078	0.5139018
SAAM-1940.9.1_1	0.66957474	0.021026254
SAAM-2011.8_1	0.913383	0.31800115
SAAM-1983.90.212_1	0.2556182	0.64270246
SAAM-1909.7.29_2	0.94506025	0.5501045
SAAM-1983.95.113_1	0.8669492	0.30900013
SAAM-1983.95.168_1	0.8142519	0.5316111
SAAM-1968.59.3_1	0.71019685	0.19486439
SAAM-1909.7.75_1	0.8534385	0.12804794
SAAM-1983.95.134_1	0.8298776	0.21973264
SAAM-1974.69.10_1	0.6441871	0.4779731
SAAM-1930.12.28_1	0.50435066	0.86620104
SAAM-1983.83.185_1	0.6556426	0.8028923
SAAM-1929.6.70_1	0.51052487	0.5936035
SAAM-1985.66.499_1	0.70073783	0.6548556
SAAM-1970.318_1	0.63914025	0.16657865
SAAM-1985.66.326797_1	0.24554908	0.6233419
SAAM-1929.6.100_1	0.92435443	0.22799766
SAAM-1952.13.146_1	0.17556381	0.61826265
SAAM-1983.83.181_1	0.6351602	0.7617694
SAAM-1985.66.384191_1	0.5932919	0.5809907
SAAM-1983.95.139_2	0.6684717	0.09926283
SAAM-1976.118_1	0.94866586	0.6156796
SAAM-1950.2.22C_1	0.39280713	0.9174949
SAAM-1983.83.184_1	0.61580074	0.57335985
SAAM-1983.83.281_1	0.6911142	0.45931685
SAAM-1985.66.406_1	0.26317334	0.097907186
SAAM-1977.1.3_1	0.51786983	0.19256055
SAAM-1983.95.172_1	0.8915731	0.57189214
SAAM-1969.53.1_1	0.65721977	0.07435131
SAAM-1981.160.1_1	0.27388275	0.34890664
SAAM-1985.66.401_1	0.80816376	0.80551374
SAAM-1985.66.389_1	0.8116766	0.8049089
SAAM-1966.33.1_1	0.015022695	0.5183152
SAAM-1968.19.8_1	0.054982066	0.5231792
SAAM-1950.2.19B_1	0.38111532	0.9567956
SAAM-1983.83.154_1	0.5187782	0.7211026
SAAM-1962.13.24_1	0.19064403	0.73806465
SAAM-1985.66.312_1	0.5501574	0.6604682
SAAM-1967.136.7_1	0.84273314	0.7310802
SAAM-1952.13.98_1	0.16664827	0.47931778
SAAM-1952.13.112_1	0.5962868	0.34103072
SAAM-1966.34.1_1	0.9757484	0.559116
SAAM-1970.355.762_2	0.3558234	0.7728516
SAAM-1977.51_1	0.25558424	0.25933135
SAAM-1953.13_1	0.82427263	0.7097012
SAAM-1988.49.2_1	0.5309558	0.77130234
SAAM-1991.56.149_1	0.35083652	0.7359165
SAAM-1983.83.195_1	0.5801188	0.72365415
SAAM-1909.7.78_1	0.8158046	0.19935381
SAAM-1977.1.1A_1	0.9173037	0.15777731
SAAM-1981.155.4_1	0.25967276	0.340793
SAAM-1985.66.365_1	0.8175031	0.65337884
SAAM-1976.54_1	0.7433206	0.37562096
SAAM-1962.13.23_1	0.14208508	0.7567135
SAAM-1983.95.119_1	0.7053573	0.7418624
SAAM-1970.355.775_2	0.33096886	0.74945676
SAAM-1962.13.58_1	0.18514264	0.3907026
SAAM-1956.11.34_1	0.5054486	0.8677441
SAAM-1950.2.23_1	0.39551795	0.9049939
SAAM-1966.34.5_1	0.54790306	0.5044955
SAAM-1965.14.4_2	0.7627212	0.26252925
SAAM-1985.66.326794_1	0.5161463	0.7233583
SAAM-1967.6.5_1	0.004318118	0.51086605
SAAM-1967.137_1	0.08271909	0.5266565
SAAM-1985.66.384192_1	0.6134683	0.5925764
SAAM-1950.2.28B_1	0.3995247	0.8503653
SAAM-1930.12.54_1	0.15187347	0.7396432
SAAM-1989.81_3	0.8866428	0.12504518
